dream_id,pred_objects,gt_objects,f1,precision,recall,reasoning,dream_report
norms-f_0051,"[""AR"", ""AR"", ""AR"", ""FO"", ""CL"", ""IT"", ""AD"", ""NA"", ""BH"", ""BT""]","[""AR"", ""CL"", ""AR"", ""AR"", ""HH"", ""AD"", ""BH"", ""BH"", ""FO""]",0.737,0.7,0.778,"{""AR (the house)"": ""The family's house — a residential dwelling explicitly described as where they live."", ""AR (my room)"": ""The dreamer's room — a distinct residential space she goes up to."", ""AR (the attic)"": ""The attic — a distinct residential space within the house, explicitly named and entered."", ""FO (peas)"": ""Food item — the dreamer is shelling peas."", ""CL (old-fashioned dress)"": ""Clothing — explicitly described garment the dreamer is wearing."", ""IT (stepladder)"": ""A tool/apparatus used to climb up to the attic."", ""AD (door to the attic)"": ""Architectural detail — a door that the dreamer pulls back."", ""NA (bird)"": ""A bird — nature/animal object that flies out."", ""BH (hair)"": ""Head/hair — explicitly described as a body part the bird gets caught in."", ""BT (neck)"": ""Torso region — explicitly described as a body part the bird gets caught against.""}","I dreamed that I and my family were Puritans. We were living the same house as we live in today, however. I was shelling peas, and was in an old-fashioned dress when a girlfriend of mine, Charlotte Kominsky (20) came over. She asked to borrow something (I can't remember what) and mother said, ""Bridg"
norms-f_0052,"[""AE"", ""CL"", ""FO"", ""AD"", ""AR"", ""AD"", ""NA""]","[""AE"", ""CL"", ""AD"", ""AR"", ""AR"", ""RG"", ""FO""]",0.714,0.714,0.714,"{""AE (beautiful ballroom)"": ""Entertainment venue — a ballroom at a fraternity party, used for dancing and recreation."", ""CL (beautiful formal)"": ""Clothing — the dreamer is wearing a formal dress."", ""FO (cocktail)"": ""Food/drink item — an alcoholic beverage."", ""AD (long spiral staircase)"": ""Architectural detail — a staircase within the building."", ""AR (very large and beautiful house)"": ""Residential building — a house the dreamer is at."", ""AD (veranda)"": ""Architectural detail — part of the house structure (like a porch/balcony)."", ""NA (huge swimming pool)"": ""Nature/miscellaneous — a swimming pool as a distinct physical feature. Coded NA as a water feature."", ""NOT CODED — 'Delta Tau Delta fraternity party'"": ""The party is an event, not a physical object. The ballroom is already coded as AE."", ""NOT CODED — 'Hollywood'"": ""Hollywood is mentioned as background context for where Samuel Goldwyn's studios are — the dreamer is not physically present there."", ""NOT CODED — 'Metro Goldwyn Mayer studios'"": ""Mentioned as background ownership information, not a physical space the dreamer enters or encounters.""}","This dream was a very disjointed one. I dreamed that I was at a Delta Tau Delta fraternity party. Here I was dancing in a beautiful ballroom of the type you see in movies and in a beautiful formal, with a friend of mine, Chuck Burka (25) who is a member of Reserve's chapter of Beta Theta Pi fraterni"
norms-f_0053,"[""AE"", ""CM"", ""HH"", ""AV"", ""RG"", ""AD""]","[""AE"", ""CM"", ""HH"", ""AV"", ""HH"", ""AD""]",0.833,0.833,0.833,"{""AE (Lasalle Theatre)"": ""A theater — entertainment building explicitly entered and described as a physical space."", ""CM (comic books)"": ""Communication objects — books/reading material the boys are reading."", ""HH (couch)"": ""Household furniture — the dreamer is lying on a couch."", ""AV (school room)"": ""A classroom — vocational/educational building explicitly entered."", ""RG (Euclid, Ohio)"": ""Named geographic area — the dreamer references it as the location of the school setting."", ""AD (the door)"": ""Architectural detail — the dreamer rushed out of the door."", ""NOT CODED — 'the movie'"": ""The movie is implied but not described as a distinct physical object; the boys are reading instead of watching it."", ""NOT CODED — 'home'"": ""Home is mentioned as a future destination ('when we got home') but not physically present in the dream scene."", ""NOT CODED — 'the bell'"": ""The bell is heard but is not a distinct physical object encountered in the scene; it is an auditory event.""}","I dreamed that Chuck Branden, my boyfriend (22) and I were in the Lasalle Theatre. There were about four other young boys in the show with us, all unknown to me, and all about the age of 10 to 12. As a matter of fact, they all resembled each other in looks Instead of watching the movie, they were al"
norms-f_0054,"[""AM"", ""AD"", ""AD"", ""RG"", ""NA""]","[""AD"", ""AM"", ""AD"", ""NA""]",0.889,0.8,1.0,"{""AM (Washington Monument)"": ""A monument — architectural miscellaneous structure."", ""AD (window)"": ""Architectural detail — the window the dreamer jumps out of."", ""AD (stairs)"": ""Architectural detail — the staircase the dreamer runs back up."", ""RG (Washington, D.C.)"": ""Named geographic region the dreamer is physically present in."", ""NA (puddle)"": ""Natural water feature — a puddle on the ground.""}","I dreamed that I was jumping out of the window of the Washington Monument in Washington, D.C. I would jump out, run back up the stairs and jump out again. After doing this three or four times, I jumped again and was about to land in a puddle when I woke up."
norms-f_0055,"[""AV"", ""BA"", ""BA"", ""MS"", ""HH"", ""BE"", ""BE"", ""BH"", ""BH""]","[""AV"", ""BT"", ""BA"", ""BA"", ""HH"", ""BE"", ""BE"", ""BH""]",0.824,0.778,0.875,"{""AV (physiology lab)"": ""A laboratory setting for educational/vocational purposes — coded as vocational architecture."", ""BA (stomach)"": ""Internal body part explicitly mentioned as an object of attention during dissection."", ""BA (kidney)"": ""Internal organ explicitly mentioned — they were searching for beads in the kidney."", ""MS (red beads)"": ""Small objects being searched for inside the cadaver — miscellaneous objects that don't fit other categories."", ""HH (lab table)"": ""Furniture — the last lab table where they were working."", ""BE (hands)"": ""Extremities explicitly described as uncovered and noted as objects of attention."", ""BE (feet)"": ""Extremities explicitly described as uncovered and noted as objects of attention."", ""BH (face)"": ""Head region explicitly described as uncovered and noted as an object of attention."", ""BH (blond hair)"": ""Head feature — the cadaver is described as a blond man, explicitly noting hair appearance."", ""NOT CODED — cadaver as a whole"": ""The cadaver is a character/body rather than a distinct object; specific body parts are coded individually."", ""NOT CODED — medical school"": ""Referenced as a comparison context, not a physical space the dreamer inhabits.""}","I dreamed that a friend of mine, Lois Watkins (20), and I were working in physiology lab on a cadaver. We were working specifically on the stomach of this male cadaver, trying to find red beads in his kidney. I remember that we were the only ones who were unable to find the red beads, and at last ou"
norms-f_0056,"[""AE"", ""AD"", ""AD"", ""CL"", ""CL"", ""BH""]","[""AE"", ""IR"", ""CL"", ""BH"", ""AD"", ""CL""]",0.833,0.833,0.833,"{""AE (ballroom)"": ""A ballroom hosting a costume party — entertainment venue."", ""AD (ceiling)"": ""The ceiling from which streamers hang — architectural detail."", ""AD (walls)"": ""The walls covered with tie replicas — architectural detail."", ""CL (streamers — decorations)"": ""Streamers hanging from the ceiling are decorative items; however, streamers are more miscellaneous. Re-evaluating: streamers are decorations, not clothing. They could be MS. But the main coded clothing objects are the ties. Let me reconsider: streamers = MS."", ""CL (the identical tie worn by all men)"": ""Clothing item — the tie with the red, white and blue design and face, worn by all men and covering the walls."", ""CL (the tie bought for brother)"": ""A second distinct tie — the one bought for the brother, without the face. Distinct instance."", ""BH (horrible man's face on the tie)"": ""A face is explicitly described as a visual element — head/face as object of attention.""}","Upon entering a ballroom where a big costume party was taking place, I was confronted with many people and much excitement and confusion. The place was gaily decorated. Hanging from the ceiling were streamers which were all entangled. Upon looking around, I saw that all the men there were wearing th"
norms-f_0057,"[""TR""]","[""TR"", ""TR""]",0.667,1.0,0.5,"{""TR (car)"": ""A car — travel/conveyance object explicitly described as the setting where the dreamer is sitting."", ""NOT CODED — 'front seat'"": ""The seat is part of the car (TR), not a separate object."", ""NOT CODED — body parts"": ""No body parts are singled out as distinct objects of attention; the embrace is an action, not a description of a body part.""}","I was sitting in the front seat of a car with a man I cannot identify. We were in a very close embrace, but instead of kissing me, he was trying to make me stutter. His method involved my repeating certain words after him. This was supposed to make me very tense. Then he asked me some questions and "
norms-f_0058,"[""RG"", ""AR"", ""AD"", ""AM""]","[""BE"", ""BE"", ""RG"", ""AR"", ""AD"", ""AR""]",0.6,0.75,0.5,"{""RG (parking lot)"": ""A parking lot is a bounded land area — coded as RG."", ""AR (Greensburgh hotel)"": ""A hotel is a residential building — coded as AR."", ""AD (entrance)"": ""The entrance/doorway of the hotel is an architectural detail."", ""AM (vestibule)"": ""A vestibule is a passageway/connecting space within a building, not a distinct residential room — coded as AM."", ""NOT CODED — 'floor'"": ""The floor is part of the vestibule space, not a separately described architectural detail. The scrubbing action draws attention to the mother, not the floor as an object."", ""NOT CODED — 'woman/mother'"": ""Characters are not coded as objects.""}","This fellow and I were walking arm and arm thru the parking lot of a Greensurgh hotel. The entrance faces the lot and we walked straight by it, but a considerable distance. I could see a woman scrubbing the floor of the vestibule. I was quite shocked to discover that it was my mother. This fellow ne"
norms-f_0059,"[""AV"", ""HH"", ""HH""]","[""AV"", ""HH"", ""HH""]",1.0,1.0,1.0,"{""AV (classroom)"": ""A classroom setting — vocational/educational building space explicitly described."", ""HH (chair)"": ""The dreamer is sitting in a chair — household furniture."", ""HH (teacher's desk)"": ""The roommate sat at the teacher's desk — household furniture.""}",I was sitting in some sort of classroom in the first row in the next to the last seat. It was an intersorority council meeting and my roommate was officiating and sat at the teacher's desk. This I couldn't understand because she isn't even a member of a sorority. I was sitting sidewards in the chair
norms-f_0060,"[""CL""]","[""CL""]",1.0,1.0,1.0,"{""CL (costume)"": ""The dreamer's costume is a garment/worn item — clothing object. The dream explicitly discusses the costume the dreamer plans to wear."", ""NOT CODED — 'costume party'"": ""The party venue is implied but never explicitly described as a physical space the dreamer enters."", ""NOT CODED — 'game of bridge'"": ""This is the concept/theme of the costume, not a physical object like a card game present in the scene."", ""NOT CODED — hundreds of people's costumes"": ""While hundreds of people appear wearing the same costume concept, these are not individually described as distinct clothing objects of attention — they are a mass reference to the same idea. The dreamer's own costume is the object of attention.""}","I was planning on going to a costume party. I had given the kind of costume that I was to wear much thought. I met someone I knew, who was also going to the same party and she asked me what I was going as. I told her that I would dress as a game of bridge. At that moment, hundreds of people appeared"
