dream_id,coding_type,init,rec,code,char,raw
b-baseline_0003,char,,,1MKA,,1MKA
b-baseline_0003,char,,,1IKA,,1IKA
b-baseline_0003,char,,,1MKA,,1MKA
b-baseline_0003,char,,,2ISC,,2ISC
b-baseline_0003,char,,,1MKA,,1MKA
b-baseline_0003,fri,D,1MKA,1>,,"{'init': 'D', 'code': '1>', 'rec': '1MKA'}"
b-baseline_0003,fri,1MKA,D,5>,,"{'init': '1MKA', 'code': '5>', 'rec': 'D'}"
b-baseline_0003,fri,D,1MKA,6=,,"{'init': 'D', 'code': '6=', 'rec': '1MKA'}"
b-baseline_0003,fri,1MKA,D,6>,,"{'init': '1MKA', 'code': '6>', 'rec': 'D'}"
b-baseline_0003,fri,1MKA,D,6>,,"{'init': '1MKA', 'code': '6>', 'rec': 'D'}"
b-baseline_0003,sex,1MKA,D,3>,,"{'init': '1MKA', 'code': '3>', 'rec': 'D'}"
b-baseline_0003,sex,1MKA,D,3>,,"{'init': '1MKA', 'code': '3>', 'rec': 'D'}"
b-baseline_0003,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0016,char,,,3MRA,,3MRA
b-baseline_0016,char,,,1FKA,,1FKA
b-baseline_0016,agg,D,1FKA,2>,,"{'init': 'D', 'code': '2>', 'rec': '1FKA'}"
b-baseline_0016,agg,D,,1*,,"{'init': 'D', 'code': '1*'}"
b-baseline_0047,char,,,1MSA,,1MSA
b-baseline_0047,char,,,1MSA,,1MSA
b-baseline_0047,sex,1MSA,D,2>,,"{'init': '1MSA', 'code': '2>', 'rec': 'D'}"
b-baseline_0062,char,,,1FKA,,1FKA
b-baseline_0062,char,,,1FKA,,1FKA
b-baseline_0062,char,,,1MSC,,1MSC
b-baseline_0062,char,,,5MPA,,5MPA
b-baseline_0062,agg,Q,1MSC,3>,,"{'init': 'Q', 'code': '3>', 'rec': '1MSC'}"
b-baseline_0062,mf,,,1,D,"{'code': '1', 'char': 'D'}"
b-baseline_0062,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0068,char,,,2IUA,,2IUA
b-baseline_0068,char,,,2JUA,,2JUA
b-baseline_0068,char,,,1IUA,,1IUA
b-baseline_0068,char,,,1FSA,,1FSA
b-baseline_0068,char,,,1MOA,,1MOA
b-baseline_0068,agg,Q,D + 2IUA,4>,,"{'init': 'Q', 'code': '4>', 'rec': 'D + 2IUA'}"
b-baseline_0068,fri,1IUA,D,2>,,"{'init': '1IUA', 'code': '2>', 'rec': 'D'}"
b-baseline_0068,fri,1MOA,D,4>,,"{'init': '1MOA', 'code': '4>', 'rec': 'D'}"
b-baseline_0068,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0070,char,,,2ANI,,2ANI
b-baseline_0070,char,,,1ANI,,1ANI
b-baseline_0070,char,,,2ANI,,2ANI
b-baseline_0070,char,,,1ANI,,1ANI
b-baseline_0083,char,,,2FDA,,2FDA
b-baseline_0083,char,,,2IUA,,2IUA
b-baseline_0083,char,,,2JUA,,2JUA
b-baseline_0083,char,,,1MKA,,1MKA
b-baseline_0083,char,,,1MKA,,1MKA
b-baseline_0083,char,,,1MKA,,1MKA
b-baseline_0083,agg,2IUA,D,3>,,"{'init': '2IUA', 'code': '3>', 'rec': 'D'}"
b-baseline_0083,fri,D,1MKA,2>,,"{'init': 'D', 'code': '2>', 'rec': '1MKA'}"
b-baseline_0083,sex,1MKA,D,5>,,"{'init': '1MKA', 'code': '5>', 'rec': 'D'}"
b-baseline_0083,sex,1MKA,D,4>,,"{'init': '1MKA', 'code': '4>', 'rec': 'D'}"
b-baseline_0083,sex,D,1MKA,3>,,"{'init': 'D', 'code': '3>', 'rec': '1MKA'}"
b-baseline_0083,mf,,,1,D,"{'code': '1', 'char': 'D'}"
b-baseline_0083,emot,,,CO,1MKA,"{'code': 'CO', 'char': '1MKA'}"
b-baseline_0083,emot,,,AP,D,"{'code': 'AP', 'char': 'D'}"
b-baseline_0090,char,,,2JUA,,2JUA
b-baseline_0090,char,,,1FSA,,1FSA
b-baseline_0090,char,,,1MSA,,1MSA
b-baseline_0090,char,,,1MSA,,1MSA
b-baseline_0090,char,,,1FOA,,1FOA
