dream_id,pred_AP,gt_AP,f1_AP,precision_AP,recall_AP,pred_HA,gt_HA,f1_HA,precision_HA,recall_HA,pred_AN,gt_AN,f1_AN,precision_AN,recall_AN,pred_CO,gt_CO,f1_CO,precision_CO,recall_CO,pred_SD,gt_SD,f1_SD,precision_SD,recall_SD,mean_f1,f1_overall,precision_overall,recall_overall,reasoning,dream_report
norms-f_0051,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""NOT CODED — bird flew out and got caught"": ""This is a surprising event, but the dreamer does not explicitly state any emotional reaction such as fear, surprise, or shock. No emotion word is used."", ""NOT CODED — general dream activities"": ""Shelling peas, climbing the stepladder, going to the attic — these are actions with no stated emotional language attached.""}","I dreamed that I and my family were Puritans. We were living the same house as we live in today, however. I was shelling peas, and was in an old-fashioned dress when a girlfriend of mine, Charlotte Kominsky (20) came over. She asked to borrow something (I can't remember what) and mother said, ""Bridg"
norms-f_0052,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""NOT CODED — dancing in a beautiful ballroom"": ""Descriptive scene-setting. No emotional label is attributed to the dreamer or any character."", ""NOT CODED — drinking a cocktail, walking down staircase"": ""Physical activities with no stated emotion."", ""NOT CODED — argument with Chuck"": ""An argument is a social interaction/activity, but no explicit emotional label (e.g., angry, frustrated) is stated by the dreamer or Chuck."", ""NOT CODED — talking to Dad by the pool"": ""Conversational activity with no stated emotion.""}","This dream was a very disjointed one. I dreamed that I was at a Delta Tau Delta fraternity party. Here I was dancing in a beautiful ballroom of the type you see in movies and in a beautiful formal, with a friend of mine, Chuck Burka (25) who is a member of Reserve's chapter of Beta Theta Pi fraterni"
norms-f_0053,"[""D""]",[],0.0,0.0,0.0,[],[],1.0,1.0,1.0,"[""1MKA""]","[""1MKA""]",1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,0.8,0.833,0.714,1.0,"{""1MKA AN (getting angry)"": ""The dreamer explicitly states 'I knew my husband was getting angry with me' — direct anger language attributed to Chuck."", ""D AP (knew he would bawl me out, rushed out)"": ""The dreamer states 'I knew my husband was getting angry with me and would bawl me out when we got home, so when the bell rang, I rushed out' — the dreamer's awareness of impending punishment and her rushing to avoid him indicates implicit fear/apprehension. However, re-examining: the dreamer does not use an explicit emotion word for herself (afraid, nervous, worried). She describes knowing he'd be angry and her action of rushing out. This is borderline — but the anticipatory avoidance behavior ('rushed out of the door and didn't wait for him') combined with 'I knew my husband was getting angry… and would bawl me out' suggests the dreamer recognized the threat sufficiently to flee. The knowledge of impending confrontation and avoidance behavior implies apprehension, but no explicit emotion word is used for the dreamer herself."", ""NOT CODED — D AP reconsideration"": ""On reflection, the dreamer does not use an explicit apprehension word (afraid, nervous, worried, anxious). She describes knowing Chuck would be angry and her behavioral response of rushing out. Per coding rules, emotions must be stated, not inferred from actions. Removing this coding.""}","I dreamed that Chuck Branden, my boyfriend (22) and I were in the Lasalle Theatre. There were about four other young boys in the show with us, all unknown to me, and all about the age of 10 to 12. As a matter of fact, they all resembled each other in looks Instead of watching the movie, they were al"
norms-f_0054,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""NOT CODED — jumping out of the window repeatedly"": ""This is an activity (locomotion), not a stated emotion. No emotional language such as fear, excitement, or enjoyment is used by the dreamer."", ""NOT CODED — about to land in a puddle"": ""A situational description with no explicit emotional reaction stated.""}","I dreamed that I was jumping out of the window of the Washington Monument in Washington, D.C. I would jump out, run back up the stairs and jump out again. After doing this three or four times, I jumped again and was about to land in a puddle when I woke up."
norms-f_0055,"[""D""]","[""D""]",1.0,1.0,1.0,"[""D"", ""1FKA""]",[],0.0,0.0,0.0,[],[],1.0,1.0,1.0,"[""D""]","[""D""]",1.0,1.0,1.0,[],[],1.0,1.0,1.0,0.8,0.533,0.364,1.0,"{""D AP (a little frightened at seeing the cadaver)"": ""The dreamer explicitly states 'I remember being a little frightened at the thought of seeing the cadaver for the first time' — direct fear/apprehension language."", ""D CO (surprised at finding him looking so natural)"": ""The dreamer explicitly says 'surprised at finding him looking so natural and not finding his hands, feet and face bound up' — explicit surprise, coded as CO."", ""D HA (thought it was funny and laughed)"": ""The dreamer explicitly states 'Lois and I also thought it was funny and laughed a good deal' — amusement/happiness at being the only ones who couldn't find the beads."", ""1FKA HA (thought it was funny and laughed)"": ""Lois (1FKA — one known female adult) is also explicitly described as thinking it was funny and laughing along with the dreamer — explicit happiness/amusement."", ""NOT CODED — lab instructor helping"": ""No emotional state is attributed to the lab instructor. He simply came over to help — an action, not a stated emotion.""}","I dreamed that a friend of mine, Lois Watkins (20), and I were working in physiology lab on a cadaver. We were working specifically on the stomach of this male cadaver, trying to find red beads in his kidney. I remember that we were the only ones who were unable to find the red beads, and at last ou"
norms-f_0056,"[""D""]",[],0.0,0.0,0.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],"[""D""]",0.0,0.0,0.0,0.6,0.5,0.5,0.5,"{""D AP (very upset about the tie)"": ""The dreamer explicitly states 'I was very upset about it' — 'upset' codes as AP (apprehension/distress)."", ""NOT CODED — 'much excitement and confusion'"": ""This describes the atmosphere/setting of the ballroom party, not a specific character's emotional state. No character is said to personally feel excited or confused."", ""NOT CODED — 'I disliked the thought'"": ""This expresses a cognitive preference or displeasure about giving the gift, but 'disliked the thought' is a mild evaluative statement rather than an explicit emotion label. It does not clearly rise to AN (anger/disgust) — it describes a reaction to a situation rather than an explicitly labeled emotional state.""}","Upon entering a ballroom where a big costume party was taking place, I was confronted with many people and much excitement and confusion. The place was gaily decorated. Hanging from the ceiling were streamers which were all entangled. Upon looking around, I saw that all the men there were wearing th"
norms-f_0057,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],"[""1MSA""]",0.0,0.0,0.0,0.8,0.0,0.0,0.0,"{""NOT CODED — 'supposed to make me very tense'"": ""The dreamer says the method was 'supposed to' make her tense — this describes the intended effect of the procedure, not a stated emotional experience. The dreamer does not say she actually felt tense."", ""NOT CODED — 'He didn't seem too disappointed'"": ""This is a negated/minimized emotion — 'didn't seem too disappointed' effectively communicates the absence of disappointment rather than a clearly stated emotional experience. Do not code absence or near-absence of emotion."", ""NOT CODED — concentrating hard"": ""Concentrating is a cognitive state, not an emotion.""}","I was sitting in the front seat of a car with a man I cannot identify. We were in a very close embrace, but instead of kissing me, he was trying to make me stutter. His method involved my repeating certain words after him. This was supposed to make me very tense. Then he asked me some questions and "
norms-f_0058,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,"[""D""]","[""D""]",1.0,1.0,1.0,"[""D""]","[""D""]",1.0,1.0,1.0,[],[],1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""D CO (quite shocked to discover it was my mother)"": ""The dreamer explicitly says 'I was quite shocked to discover that it was my mother' — shock/surprise is coded as Confusion (CO)."", ""D AN (furious at myself)"": ""The dreamer explicitly states 'I was furious at myself for not having done so' — fury is a direct anger word, coded as AN."", ""NOT CODED — conflicting thoughts about introducing them"": ""The dreamer describes two conflicting cognitive decisions ('I will / I won't introduce them') but does not attach an explicit emotional label to this moment of indecision. No CO or other emotion is stated here.""}","This fellow and I were walking arm and arm thru the parking lot of a Greensurgh hotel. The entrance faces the lot and we walked straight by it, but a considerable distance. I could see a woman scrubbing the floor of the vestibule. I was quite shocked to discover that it was my mother. This fellow ne"
norms-f_0059,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,"[""D""]","[""D""]",1.0,1.0,1.0,"[""D""]",[],0.0,0.0,0.0,[],[],1.0,1.0,1.0,0.8,0.667,0.5,1.0,"{""D CO (couldn't understand roommate officiating)"": ""The dreamer explicitly states 'This I couldn't understand' regarding why her roommate was officiating — direct confusion/puzzlement language."", ""D AN (just furious)"": ""The dreamer explicitly states 'I was just furious' after being scolded a second time — fury is a clear anger word."", ""NOT CODED — roommate scolding"": ""The roommate scolds and insists, but no explicit emotional label (e.g., angry, annoyed) is attributed to her. These are verbal actions, not stated emotions."", ""NOT CODED — the arguments"": ""The arguments are described as activities/interactions. No additional emotional labels beyond 'furious' are given to the dreamer or any other character."", ""NOT CODED — dreamer trying to explain innocence"": ""This is a verbal action, not a stated emotion. No frustration or distress word is explicitly used in those moments beyond the already-coded fury.""}",I was sitting in some sort of classroom in the first row in the next to the last seat. It was an intersorority council meeting and my roommate was officiating and sat at the teacher's desk. This I couldn't understand because she isn't even a member of a sorority. I was sitting sidewards in the chair
norms-f_0060,"[""D""]","[""D""]",1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,[],[],1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""D AP (it disturbed me greatly)"": ""The dreamer explicitly states 'it disturbed me greatly' — 'disturbed' is coded as AP (apprehension/distress)."", ""NOT CODED — they didn't seem to mind"": ""This describes the ABSENCE of negative emotion in the crowd. Absence of emotion is not coded."", ""NOT CODED — hundreds of people shouting"": ""This is an activity/event, not a stated emotion for those characters. No explicit emotional label is given to the crowd beyond 'didn't seem to mind.'""}","I was planning on going to a costume party. I had given the kind of costume that I was to wear much thought. I met someone I knew, who was also going to the same party and she asked me what I was going as. I told her that I would dress as a game of bridge. At that moment, hundreds of people appeared"
