dream_id,pred_settings,gt_settings,f1,precision,recall,reasoning,dream_report
norms-f_0001,"[""IF"", ""IQ""]","[""IQ""]",0.667,0.5,1.0,"{""IF (at home)"": ""The dream begins with the dreamer planning to be married 'at home.' The dreamer uses a possessive/familiar reference — 'at home' implies the dreamer's own home. Indoor + Familiar = IF. The wedding ceremony itself is not seen but is understood to be simple; the conversations about the honeymoon and related discussions all occur within this same home context."", ""IQ (large dining room)"": ""The dream transitions to 'a large dining room' where the dreamer and George are sitting, drinking. This is a new, clearly different indoor location. There is no possessive, no name, and no familiarity or unfamiliarity signal — just 'a large dining room.' Indoor + Questionable = IQ.""}","I dreamed it was next summer and that I was going to be married to my boyfriend at home. Mother advised me not to, but said she would not stand in my way. He had very little money and George, after finally convincing me not to finish school, said maybe mother was right. I had made up my mind, howeve"
norms-f_0002,"[""IU"", ""IQ""]","[""IU""]",0.667,0.5,1.0,"{""IU (home — 'not our house')"": ""The dreamer says 'I was at home but it was not our house.' The phrase 'it was not our house' explicitly signals non-recognition of the place — the dreamer does not identify this as their own familiar home. Indoor + Unfamiliar = IU. The living room and window are sub-locations within the same house, so no additional code is needed."", ""IQ (in front of a mirror shaving)"": ""After a 'complete change,' the dreamer is in front of a mirror shaving — an indoor setting (bathroom or similar). No name, no possessive, no familiarity or unfamiliarity signal for this new location. Indoor + Questionable = IQ.""}",I was at home but it was not our house. I saw my little brother (2) first and he looked as if he had just had a haircut. Then I went into what seemed to be the living room and my mother and cousin (29) Jack were there. Jack was planning a vacation to Canada. I told him he was foolish to drive all th
norms-f_0003,"[""OU""]","[""OU""]",1.0,1.0,1.0,"{""OU (lake/water)"": ""The setting is a body of water described as 'like a lake' — outdoor. No name is given and no familiarity is expressed; 'like a lake' suggests it is not a recognized specific place. Outdoor + Unfamiliar = OU.""}","I was in water like a lake up to my waist and my sister (16) was with me. We were striving desperately to get away from a large Negro man, but the water was holding us back. I feared that he was going to rape us, but then I realized he would not."
norms-f_0004,"[""OU""]","[""OU"", ""OU""]",0.667,1.0,0.5,"{""OU (unfamiliar outdoor surroundings)"": ""The entire dream takes place outdoors — riding bicycles, crossing a bridge, falling into a canal. The dreamer explicitly states 'the surroundings were unfamiliar,' which is a clear signal of non-recognition. Outdoor + Unfamiliar = OU. The bridge and canal are part of the same continuous outdoor journey, so only one code is needed.""}","I was riding a bicycle with a boy who is a student here at school and we were going to the movies. The surroundings were unfamiliar and we both suddenly realized there would be no place to put the bikes, so we returned. On the way back, however, he had to cross a bridge and when we got to the middle"
norms-f_0005,"[""IF""]","[""IF""]",1.0,1.0,1.0,"{""IF (biology lab)"": ""The entire dream takes place in 'biology lab' — an indoor setting. The place is named and clearly a familiar academic location the dreamer attends. Indoor + Familiar = IF.""}","I was in biology lab and had a bag of cookies and a bag of after dinner mints. I put them on the desk and said everyone was welcome to help themselves. When I went to get some, they were all gone, so I went around to each person in the lab and made them put some back. I was perplexed because they ha"
norms-f_0006,"[""IF""]","[""IF""]",1.0,1.0,1.0,"{""IF (dreamer's dormitory rooms)"": ""The entire dream takes place within the dreamer's own dormitory. The dreamer references 'my present room,' 'my old room,' and 'the same dormitory as I' — all possessive language establishing this as the dreamer's familiar living space. Moving between rooms within the same dormitory building does not constitute a scene change. Indoor + Familiar = IF.""}","I dreamed that Norma (18), a girl who resides in the same dormitory as I, and I decided to change rooms. I was going to take the room I had last year and she was going to take my present room. I packed some of my things in a suitcase and went down to my old room. However, the present occupant of the"
norms-f_0007,"[""OQ""]","[""OQ""]",1.0,1.0,1.0,"{""OQ (road/railroad crossing area)"": ""The dream takes place in a car driving along a road, arriving at a railroad crossing, and near an elevated platform by the railroad. All of these are outdoor settings. The locations are not named, not described as familiar or unfamiliar — no possessives, no named streets, no explicit unfamiliarity signals. Outdoor + Questionable = OQ. The entire dream is one continuous outdoor scene (car → railroad crossing → nearby platform), so only one code is assigned.""}","I dreamed I owned a red Ford. Since I couldn't drive, I asked a boy whom I thought was Jimmy L. (22) who married a friend of mine, to drive the car for me. We got into the car and he put his arm around me and started the car. We got to a railroad crossing and I suddenly realized the boy was not Jimm"
norms-f_0008,"[""IF""]","[""IF""]",1.0,1.0,1.0,"{""IF (dormitory — shower, stairs, telephone, upstairs)"": ""The entire dream takes place within the dreamer's own dormitory. The dreamer refers to 'the dormitory intercommunications system,' uses possessive language ('my housecoat'), and the context clearly establishes this as the dreamer's own dorm (she is showering there, runs downstairs to the phone, goes back upstairs to talk to 'the girls'). Moving from the shower to the phone downstairs and back upstairs are all sub-locations within the same building. Per the dormitory rule, all sub-spaces within the dreamer's own dorm = F. Indoor + Familiar = IF. One code for the entire scene.""}","I dreamed I was in the shower one evening around 10:000 when I heard my name being called on the dormitory intercommunications system. I put on my housecoat and ran down three flights of stairs to the telephone. The person on the other end of the line was Howard M. (16, a boy whom I date). He said t"
norms-f_0009,"[""ID""]","[""ID""]",1.0,1.0,1.0,"{""ID (my room / stairs — same building)"": ""The dream takes place in the dreamer's own room ('my room,' 'my desk') — a familiar indoor setting. However, the dreamer explicitly states 'the room did not look like mine, but rather like Doris' room,' meaning the dreamer recognizes it as their own place but it is physically wrong. This is the hallmark of Distorted: familiar place type with incorrect appearance. Running down the stairs is within the same building — not a new scene. Indoor + Distorted = ID.""}","I dreamed I was sitting in my room at my desk. The room did not look like mine, but rather like Doris' (18, a girl who lives in the room next to mine) room. As I was sitting at my desk looking out the window, I noticed a pen on my desk which was situated in a dish of ink. I knew that a man was in my"
norms-f_0010,"[""OQ""]","[""OQ""]",1.0,1.0,1.0,"{""OQ (dark car)"": ""The dream opens with the dreamer sitting in a dark car. A car is coded as Outdoor per the coding rules (vehicles = O). The car is not named or described as familiar/unfamiliar — no possessive, no explicit recognition or non-recognition. Outdoor + Questionable = OQ. The remainder of the dream (reading the magazine, talking to Dottie) does not establish a clearly different physical location — the dreamer never describes moving to a new distinct place, so no additional setting code is warranted.""}",I dreamed I was sitting in a dark car when an unidentified man opened the car door and asked me my views on the Republican and Democratic parties. I can't remember what I told him. The next thing I remember is picking up a copy of the Reader's Digest and discovering a two-page article about myself. 
