dream_id,pred_descriptors,gt_descriptors,f1,precision,recall,reasoning,dream_report
norms-f_0051,"[""A+""]","[""A+""]",1.0,1.0,1.0,"{""A+ (old-fashioned dress)"": ""'Old-fashioned' is an explicit age+ descriptor, indicating something from an older era/style."", ""NOT CODED — (20)"": ""Parenthetical age is character-coding notation, not a descriptor word."", ""NOT CODED — 'Puritans'"": ""Historical/cultural identity, not a descriptor in any of the 9 dimensions."", ""NOT CODED — 'same'"": ""Not a codeable quality word in the 9 dimensions.""}","I dreamed that I and my family were Puritans. We were living the same house as we live in today, however. I was shelling peas, and was in an old-fashioned dress when a girlfriend of mine, Charlotte Kominsky (20) came over. She asked to borrow something (I can't remember what) and mother said, ""Bridg"
norms-f_0052,"[""E+"", ""E+"", ""S+"", ""L-"", ""I+"", ""I+"", ""S+"", ""E+"", ""S+""]","[""E+"", ""E+"", ""S+"", ""L-"", ""S+"", ""E+"", ""S+"", ""I+""]",0.941,0.889,1.0,"{""E+ (beautiful ballroom)"": ""'Beautiful' is a positive aesthetic evaluation — E+."", ""E+ (beautiful formal)"": ""Second 'beautiful' applied to a different object (the dress/formal) — another E+."", ""S+ (long spiral staircase)"": ""'Long' is an explicit size+ descriptor."", ""L- (spiral staircase)"": ""'Spiral' explicitly describes a curved/non-linear shape — linearity−."", ""I+ (very early)"": ""'Very' is an explicit high-intensity modifier applied to dream content."", ""I+ (very large)"": ""'Very' is an explicit high-intensity modifier applied to dream content."", ""S+ (very large ... house)"": ""'Large' is an explicit size+ descriptor."", ""E+ (beautiful house)"": ""'Beautiful' is a positive aesthetic evaluation — E+."", ""S+ (huge swimming pool)"": ""'Huge' is an explicit size+ descriptor."", ""NOT CODED — 'very disjointed one'"": ""This is a METACOGNITIVE statement about the dream itself, not about dream content. 'Very' in the metacognitive frame does NOT code."", ""NOT CODED — ages (25), (22), (50)"": ""Parenthetical ages are character-coding notation, not descriptor words."", ""NOT CODED — 'early in the morning'"": ""'Early' describes time, not a physical quality in the 9 dimensions. Only 'very' modifying it is coded as I+.""}","This dream was a very disjointed one. I dreamed that I was at a Delta Tau Delta fraternity party. Here I was dancing in a beautiful ballroom of the type you see in movies and in a beautiful formal, with a friend of mine, Chuck Burka (25) who is a member of Reserve's chapter of Beta Theta Pi fraterni"
norms-f_0053,"[""A-"", ""V+""]","[""A-"", ""E-""]",0.5,0.5,0.5,"{""A- (young boys)"": ""'Young' is an explicit age− descriptor applied to the boys."", ""V+ (rushed out)"": ""'Rushed' expresses rapid movement — velocity+."", ""NOT CODED — age (22)"": ""Parenthetical age is character-coding notation, not a descriptor word."", ""NOT CODED — ages 10 to 12"": ""Specific numeric ages given for the boys are character-coding notation, not descriptor words."", ""NOT CODED — 'about four'"": ""Approximate quantity, not a size descriptor."", ""NOT CODED — 'about 15-20 students'"": ""Numeric quantity estimate, not a size descriptor."", ""NOT CODED — 'silly'"": ""Behavioral description, not a descriptor in the 9 dimensions."", ""NOT CODED — 'angry'"": ""Simple emotion word without an explicit intensity modifier.""}","I dreamed that Chuck Branden, my boyfriend (22) and I were in the Lasalle Theatre. There were about four other young boys in the show with us, all unknown to me, and all about the age of 10 to 12. As a matter of fact, they all resembled each other in looks Instead of watching the movie, they were al"
norms-f_0054,[],[],1.0,1.0,1.0,"{""NOT CODED — 'three or four times'"": ""Numerical count, not a descriptor in any of the 9 dimensions."", ""NOT CODED — 'Washington Monument'"": ""Proper noun/place name, not a descriptive quality word."", ""NOT CODED — no explicit quality words"": ""This dream describes actions (jumping, running) without any explicit descriptive modifiers falling into the 9 coding dimensions.""}","I dreamed that I was jumping out of the window of the Washington Monument in Washington, D.C. I would jump out, run back up the stairs and jump out again. After doing this three or four times, I jumped again and was about to land in a puddle when I woke up."
norms-f_0055,"[""A-"", ""A-"", ""C+"", ""E+"", ""I+"", ""I-""]","[""C+"", ""A-"", ""E+"", ""I-""]",0.8,0.667,1.0,"{""C+ (red beads)"": ""'Red' is a chromatic color — color+. Although 'red beads' is mentioned multiple times, the beads are the same object referenced repeatedly. Coding once for the first distinct descriptive application."", ""A- (a young fellow)"": ""'Young' is an explicit age− descriptor applied to the lab instructor."", ""A- (a young, nice-looking ... blond man)"": ""'Young' applied to the cadaver — a second distinct character described as young."", ""E+ (nice-looking)"": ""'Nice-looking' is a positive aesthetic evaluation of appearance — evaluation+."", ""I+ (very limp)"": ""'Very' is an explicit high-intensity modifier applied to dream content."", ""I- (a little frightened)"": ""'A little' is an explicit low-intensity modifier — intensity−."", ""NOT CODED — ages (20), (20-25), (20)"": ""Parenthetical ages are character-coding notation, not descriptor words."", ""NOT CODED — 'blond'"": ""'Blond' describes hair color but is borderline. It could be C+ but the coder treats it as a physical trait/identifier rather than a salient chromatic color descriptor applied to an object."", ""NOT CODED — 'natural'"": ""'Natural' describes the cadaver's appearance as lifelike but is not clearly an aesthetic praise word (E+) — it's more a factual observation about appearance."", ""NOT CODED — 'funny'"": ""'Funny' describes a humorous reaction, not an aesthetic/moral evaluation."", ""NOT CODED — 'last lab table'"": ""'Last' indicates position/order, not a descriptor in the 9 dimensions."", ""NOT CODED — 'dead'"": ""State of being, not a descriptor in the 9 dimensions."", ""NOT CODED — 'surprised'"": ""Simple emotion word without an explicit intensity modifier.""}","I dreamed that a friend of mine, Lois Watkins (20), and I were working in physiology lab on a cadaver. We were working specifically on the stomach of this male cadaver, trying to find red beads in his kidney. I remember that we were the only ones who were unable to find the red beads, and at last ou"
norms-f_0056,"[""S+"", ""C+"", ""C-"", ""C+"", ""E-"", ""I+"", ""I+""]","[""S+"", ""C+"", ""C-"", ""C+"", ""E-"", ""I+""]",0.923,0.857,1.0,"{""S+ (big costume party)"": ""'Big' is an explicit size+ word describing the party."", ""C+ (red)"": ""'Red' is a chromatic color — color+."", ""C- (white)"": ""'White' is an achromatic color — color−."", ""C+ (blue)"": ""'Blue' is a chromatic color — color+."", ""E- (horrible man's face)"": ""'Horrible' is a negative aesthetic evaluation — evaluation−."", ""I+ (very tie — 'this very tie')"": ""Actually, 'very' here is used as an adjective meaning 'exact/same,' not as an intensifier. NOT CODED upon reflection."", ""I+ (very upset)"": ""'Very' is an explicit high-intensity modifier applied to an emotional state in the dream."", ""NOT CODED — 'many people'"": ""'Many' indicates quantity but is not a standard size word in the codebook like 'lots of' or 'millions of.' Borderline — coder chose not to code."", ""NOT CODED — 'much excitement'"": ""'Much' is a quantity word but modifies an abstract emotion, not a physical dimension."", ""NOT CODED — 'gaily decorated'"": ""'Gaily' describes manner of decoration — not clearly in the 9 dimensions."", ""NOT CODED — 'all entangled'"": ""Describes a physical state of the streamers, not a standard descriptor dimension."", ""NOT CODED — 'identical'"": ""Describes sameness, not a quality dimension."", ""NOT CODED — 'practically every inch'"": ""'Practically' could be an intensity word but is used in a spatial/quantity sense, not as a salient intensifier."", ""NOT CODED — 'this very tie'"": ""'Very' here means 'exact same' (adjective), not an intensity modifier."", ""NOT CODED — 'disliked'"": ""Simple emotion word without an explicit intensity modifier.""}","Upon entering a ballroom where a big costume party was taking place, I was confronted with many people and much excitement and confusion. The place was gaily decorated. Hanging from the ceiling were streamers which were all entangled. Upon looking around, I saw that all the men there were wearing th"
norms-f_0057,"[""I+"", ""I+"", ""I+"", ""V-""]","[""I+"", ""I+"", ""I+"", ""V-"", ""I+""]",0.889,1.0,0.8,"{""I+ (very close embrace)"": ""'Very' is an explicit high-intensity modifier applied to the closeness of the embrace."", ""I+ (very tense)"": ""'Very' is an explicit high-intensity modifier applied to the state of tension."", ""I+ (real hard)"": ""'Real hard' functions as an explicit intensity modifier on the dreamer's concentration — equivalent to 'very hard'."", ""V- (very slowly)"": ""'Slowly' is an explicit velocity− descriptor — the dreamer replied at a slow pace. 'Very' modifies 'slowly' but the core descriptor is the velocity word."", ""NOT CODED — 'too disappointed'"": ""'Too' here is used in a negated context ('didn't seem too disappointed'), which cancels the intensity. The negation removes the force of the intensifier."", ""NOT CODED — 'concentrated'"": ""An action verb, not a descriptor in the 9 dimensions.""}","I was sitting in the front seat of a car with a man I cannot identify. We were in a very close embrace, but instead of kissing me, he was trying to make me stutter. His method involved my repeating certain words after him. This was supposed to make me very tense. Then he asked me some questions and "
norms-f_0058,"[""L+"", ""S+""]","[""L+"", ""I+""]",0.5,0.5,0.5,"{""L+ (walked straight by it)"": ""'Straight' explicitly describes the linearity of their path — linearity+."", ""S+ (a considerable distance)"": ""'Considerable' implies a large distance — size+."", ""NOT CODED — 'quite shocked'"": ""'Quite' is borderline. Per the rules, code 'quite' only when it clearly intensifies a salient quality. Here it modifies an emotional reaction ('shocked'), and following the conservative approach for borderline intensifiers in emotional contexts, the coder chose not to code I+."", ""NOT CODED — 'furious'"": ""Simple emotion word without an explicit intensity modifier — does not code I."", ""NOT CODED — 'conflicting'"": ""Describes the nature of the thoughts, not a quality in the 9 dimensions.""}","This fellow and I were walking arm and arm thru the parking lot of a Greensurgh hotel. The entrance faces the lot and we walked straight by it, but a considerable distance. I could see a woman scrubbing the floor of the vestibule. I was quite shocked to discover that it was my mother. This fellow ne"
norms-f_0059,"[""I+"", ""I-""]","[""I+"", ""I+"", ""I+"", ""I-""]",0.667,1.0,0.5,"{""I+ (completely innocent)"": ""'Completely' is an explicit high-intensity modifier applied to the dreamer's state — I+."", ""I- (mild argument)"": ""'Mild' is an explicit low-intensity modifier describing the argument — I−."", ""NOT CODED — 'furious'"": ""Simple emotion word without an explicit intensity modifier — not coded."", ""NOT CODED — 'vehement argument'"": ""'Vehement' describes the force of the argument. Judgment call: 'vehement' could be considered I+, but it functions more as a characterization of the argument's nature than as a standard intensifier modifying a quality word. The coder chose not to code it."", ""NOT CODED — 'intently'"": ""Describes manner of listening, not a salient quality dimension in the 9 categories."", ""NOT CODED — 'short while later'"": ""'Short' here describes a time duration, not a physical size dimension — not coded as S−.""}",I was sitting in some sort of classroom in the first row in the next to the last seat. It was an intersorority council meeting and my roommate was officiating and sat at the teacher's desk. This I couldn't understand because she isn't even a member of a sorority. I was sitting sidewards in the chair
norms-f_0060,"[""S+"", ""I+""]","[""I+"", ""I+""]",0.5,0.5,0.5,"{""S+ (hundreds of people)"": ""'Hundreds' is a large quantity word implying a very large number of people — size+."", ""I+ (disturbed me greatly)"": ""'Greatly' is an explicit high-intensity modifier applied to the dreamer's emotional state — intensity+."", ""NOT CODED — 'much thought'"": ""'Much' here describes the amount of thought given, not a physical size or salient intensity modifier in the dream-content sense. Borderline, but coder chose not to code."", ""NOT CODED — 'all shouting at once'"": ""Describes simultaneous action, not a descriptor in any of the 9 dimensions."", ""NOT CODED — 'alike'"": ""Describes similarity, not an evaluative or other codeable dimension.""}","I was planning on going to a costume party. I had given the kind of costume that I was to wear much thought. I met someone I knew, who was also going to the same party and she asked me what I was going as. I told her that I would dress as a game of bridge. At that moment, hundreds of people appeared"
